NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 0.46561057600000005, [[0.25][31.0]], "[[-0.0][35.0], [-0.0][35.0], [-0.0][34.0], [-0.0][34.0], [-0.0][35.0], [-0.0][33.0], [-0.0][34.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][34.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-1.0][33.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][34.0], [-0.0][34.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [0.25][31.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][35.0], [-0.0][34.0], [-0.0][33.0], [-0.0][35.0], [-0.0][35.0]]", 40
80, 0.478376897, [[-0.0][31.0]], "[[-0.0][31.0], [0.25][31.0], [-0.3333333333333333][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-1.0][33.0], [-1.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0]]", 40
120, 0.494775628, [[-0.6666666666666666][28.0]], "[[-0.6666666666666666][28.0], [-0.6111111111111112][29.0], [-0.0][30.0], [2.0][30.0], [-0.5][31.0], [-0.3333333333333333][31.0], [-0.25][31.0], [-0.16666666666666666][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [0.25][31.0], [-1.0][32.0], [-0.5][32.0], [-0.3333333333333333][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-1.0][33.0], [-1.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0]]", 40
160, 0.503351634, [[-0.6666666666666666][28.0]], "[[-0.6666666666666666][28.0], [-0.25][28.0], [0.8333333333333333][28.0], [-0.6111111111111112][29.0], [0.5][29.0], [2.0][29.0], [2.5][29.0], [2.5][29.0], [-0.16666666666666666][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [0.5][30.0], [1.0][30.0], [2.0][30.0], [-1.0][31.0], [-0.5][31.0], [-0.3333333333333333][31.0], [-0.25][31.0], [-0.16666666666666666][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [0.25][31.0], [0.25][31.0], [-1.0][32.0], [-0.5][32.0], [-0.5][32.0], [-0.3333333333333333][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0]]", 40
200, 0.5100228, [[-0.16666666666666669][25.0]], "[[-0.16666666666666669][25.0], [1.25][26.0], [3.25][26.0], [5.0][27.0], [-0.6666666666666666][28.0], [-0.2777777777777778][28.0], [-0.25][28.0], [-0.0][28.0], [0.8333333333333333][28.0], [1.0][28.0], [2.5][28.0], [-0.6111111111111112][29.0], [-0.25][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [0.16666666666666669][29.0], [0.5][29.0], [1.0][29.0], [2.0][29.0], [2.5][29.0], [2.5][29.0], [-0.5][30.0], [-0.16666666666666666][30.0], [-0.16666666666666666][30.0], [-0.16666666666666666][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [0.25][30.0], [0.25][30.0], [0.5][30.0], [1.0][30.0], [1.0][30.0], [1.0][30.0], [1.0][30.0]]", 40
240, 0.517433668, [[-0.16666666666666669][25.0]], "[[-0.16666666666666669][25.0], [1.1666666666666665][25.0], [2.25][25.0], [3.25][25.0], [3.25][25.0], [6.5][25.0], [1.25][26.0], [3.25][26.0], [-0.7][27.0], [0.16666666666666663][27.0], [1.0][27.0], [1.0][27.0], [1.1666666666666667][27.0], [2.5][27.0], [5.0][27.0], [6.0][27.0], [-0.6666666666666666][28.0], [-0.2777777777777778][28.0], [-0.25][28.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0], [0.5][28.0], [0.6666666666666665][28.0], [0.8333333333333333][28.0], [1.0][28.0], [1.0][28.0], [2.0][28.0], [2.5][28.0], [-0.6111111111111112][29.0], [-0.38888888888888884][29.0], [-0.25][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [0.16666666666666669][29.0], [0.5][29.0]]", 40
280, 0.525239615, [[3.916666666666666][22.0]], "[[3.916666666666666][22.0], [2.583333333333333][23.0], [1.1666666666666665][24.0], [1.5][24.0], [3.1666666666666665][24.0], [3.1666666666666665][24.0], [3.5][24.0], [3.75][24.0], [4.25][24.0], [-0.29999999999999993][25.0], [-0.16666666666666669][25.0], [1.1666666666666665][25.0], [2.0][25.0], [2.25][25.0], [3.25][25.0], [3.25][25.0], [6.5][25.0], [-0.625][26.0], [1.0][26.0], [1.25][26.0], [2.75][26.0], [3.25][26.0], [4.75][26.0], [-0.7][27.0], [-0.7][27.0], [-0.0][27.0], [0.16666666666666663][27.0], [0.8333333333333334][27.0], [1.0][27.0], [1.0][27.0], [1.0][27.0], [1.0][27.0], [1.0][27.0], [1.1666666666666667][27.0], [1.75][27.0], [1.75][27.0], [2.25][27.0], [2.5][27.0], [5.0][27.0], [6.0][27.0]]", 40
320, 0.534773689, [[3.916666666666666][22.0]], "[[3.916666666666666][22.0], [2.1666666666666665][23.0], [2.583333333333333][23.0], [3.0][23.0], [4.166666666666666][23.0], [1.0416666666666665][24.0], [1.1666666666666665][24.0], [1.5][24.0], [3.0][24.0], [3.1666666666666665][24.0], [3.1666666666666665][24.0], [3.5][24.0], [3.5][24.0], [3.75][24.0], [3.75][24.0], [4.0][24.0], [4.25][24.0], [5.0][24.0], [7.5][24.0], [-0.3666666666666667][25.0], [-0.29999999999999993][25.0], [-0.16666666666666669][25.0], [1.0][25.0], [1.1666666666666665][25.0], [1.1666666666666665][25.0], [2.0][25.0], [2.0][25.0], [2.25][25.0], [3.25][25.0], [3.25][25.0], [3.5][25.0], [4.166666666666666][25.0], [6.5][25.0], [-0.7222222222222222][26.0], [-0.625][26.0], [-0.5833333333333334][26.0], [0.5][26.0], [0.6666666666666666][26.0], [1.0][26.0], [1.25][26.0]]", 40
360, 0.5554439840000001, [[6.300000000000001][20.0]], "[[6.300000000000001][20.0], [3.9444444444444438][21.0], [3.916666666666666][22.0], [1.0208333333333333][23.0], [1.0833333333333333][23.0], [1.9166666666666667][23.0], [1.9166666666666667][23.0], [2.1666666666666665][23.0], [2.5][23.0], [2.583333333333333][23.0], [2.583333333333333][23.0], [3.0][23.0], [3.1666666666666665][23.0], [3.5][23.0], [4.166666666666666][23.0], [4.166666666666666][23.0], [4.666666666666666][23.0], [5.5][23.0], [6.25][23.0], [1.0][24.0], [1.0][24.0], [1.0416666666666665][24.0], [1.1666666666666665][24.0], [1.5][24.0], [1.6666666666666665][24.0], [2.1666666666666665][24.0], [3.0][24.0], [3.1666666666666665][24.0], [3.1666666666666665][24.0], [3.5][24.0], [3.5][24.0], [3.75][24.0], [3.75][24.0], [4.0][24.0], [4.25][24.0], [5.0][24.0], [7.5][24.0], [-0.3666666666666667][25.0], [-0.29999999999999993][25.0], [-0.16666666666666669][25.0]]", 40
400, 0.567466404, [[8.375][19.0]], "[[8.375][19.0], [4.800000000000001][20.0], [6.300000000000001][20.0], [1.7499999999999998][21.0], [2.416666666666667][21.0], [3.9444444444444438][21.0], [0.6666666666666667][22.0], [2.5][22.0], [2.555555555555556][22.0], [2.583333333333333][22.0], [2.958333333333333][22.0], [3.5][22.0], [3.833333333333333][22.0], [3.916666666666666][22.0], [4.166666666666666][22.0], [4.916666666666666][22.0], [5.25][22.0], [6.5][22.0], [0.75][23.0], [1.0][23.0], [1.0208333333333333][23.0], [1.0833333333333333][23.0], [1.9166666666666667][23.0], [1.9166666666666667][23.0], [2.1666666666666665][23.0], [2.4999999999999996][23.0], [2.5][23.0], [2.583333333333333][23.0], [2.583333333333333][23.0], [3.0][23.0], [3.0][23.0], [3.1666666666666665][23.0], [3.5][23.0], [4.0][23.0], [4.166666666666666][23.0], [4.166666666666666][23.0], [4.666666666666666][23.0], [4.833333333333333][23.0], [5.5][23.0], [6.25][23.0]]", 40
