NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 0.746758439, [[-0.0][77.0]], "[[-0.0][78.0], [-0.0][80.0], [-0.0][79.0], [-0.0][79.0], [-0.0][80.0], [-0.0][79.0], [-0.0][80.0], [-0.0][80.0], [-0.0][80.0], [-0.0][80.0], [-0.0][80.0], [-0.0][79.0], [-0.0][80.0], [-0.0][77.0], [-0.0][80.0], [-0.0][80.0], [-0.0][80.0], [-0.0][80.0], [-0.0][80.0], [-0.0][80.0], [-0.0][79.0], [-0.0][80.0], [-0.0][80.0], [-0.0][79.0], [-0.0][79.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][79.0], [-0.0][80.0], [-0.0][80.0], [-0.0][80.0], [-0.0][79.0], [-0.0][80.0], [-0.0][79.0], [-0.0][80.0], [-0.0][80.0], [-0.0][80.0], [-0.0][80.0], [-0.0][79.0]]", 40
80, 0.7723536980000001, [[0.5][75.0]], "[[0.5][75.0], [-0.0][76.0], [-0.0][77.0], [-0.0][77.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0]]", 40
120, 0.79881183, [[-0.0][75.0]], "[[-0.0][75.0], [0.5][75.0], [1.0][75.0], [-0.16666666666666666][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [2.0][76.0], [-0.16666666666666666][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][78.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0], [-0.0][79.0]]", 40
160, 0.819034499, [[-0.0][74.0]], "[[-0.0][74.0], [0.5][74.0], [0.5][74.0], [0.9166666666666666][74.0], [1.0][74.0], [-0.16666666666666666][75.0], [-0.0][75.0], [0.5][75.0], [0.5][75.0], [1.0][75.0], [1.0][75.0], [1.0][75.0], [-0.16666666666666666][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [2.0][76.0], [-0.16666666666666666][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][77.0], [-0.0][77.0]]", 40
200, 0.8398062220000001, [[-0.0][71.0]], "[[-0.0][71.0], [0.5416666666666666][72.0], [-0.0][74.0], [-0.0][74.0], [-0.0][74.0], [-0.0][74.0], [-0.0][74.0], [0.5][74.0], [0.5][74.0], [0.5][74.0], [0.5][74.0], [0.9166666666666666][74.0], [0.9166666666666666][74.0], [1.0][74.0], [1.0][74.0], [-0.5][75.0], [-0.16666666666666666][75.0], [-0.16666666666666666][75.0], [-0.16666666666666666][75.0], [-0.0][75.0], [-0.0][75.0], [-0.0][75.0], [-0.0][75.0], [0.16666666666666666][75.0], [0.5][75.0], [0.5][75.0], [0.5][75.0], [0.5][75.0], [1.0][75.0], [1.0][75.0], [1.0][75.0], [1.0][75.0], [1.0][75.0], [-0.16666666666666666][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0], [-0.0][76.0]]", 40
240, 0.867484055, [[-0.0][71.0]], "[[-0.0][71.0], [-0.0][71.0], [0.875][71.0], [0.9166666666666667][71.0], [0.3333333333333333][72.0], [0.5416666666666666][72.0], [1.0][72.0], [-0.5][73.0], [-0.16666666666666666][73.0], [-0.16666666666666666][73.0], [-0.0][73.0], [0.5][73.0], [0.9166666666666666][73.0], [1.1666666666666665][73.0], [1.5][73.0], [-0.5][74.0], [-0.0][74.0], [-0.0][74.0], [-0.0][74.0], [-0.0][74.0], [-0.0][74.0], [-0.0][74.0], [-0.0][74.0], [-0.0][74.0], [0.33333333333333337][74.0], [0.5][74.0], [0.5][74.0], [0.5][74.0], [0.5][74.0], [0.5][74.0], [0.5][74.0], [0.9166666666666666][74.0], [0.9166666666666666][74.0], [1.0][74.0], [1.0][74.0], [1.0][74.0], [-0.5][75.0], [-0.16666666666666666][75.0], [-0.16666666666666666][75.0], [-0.16666666666666666][75.0]]", 40
280, 0.896898909, [[-0.0][70.0]], "[[-0.0][70.0], [-0.0][70.0], [-0.0][70.0], [1.125][70.0], [2.0][70.0], [-0.0][71.0], [-0.0][71.0], [0.875][71.0], [0.9166666666666667][71.0], [2.0][71.0], [2.3333333333333335][71.0], [-0.5][72.0], [-0.5][72.0], [-0.0][72.0], [0.16666666666666666][72.0], [0.33333333333333326][72.0], [0.3333333333333333][72.0], [0.5416666666666666][72.0], [1.0][72.0], [1.0][72.0], [-0.5][73.0], [-0.5][73.0], [-0.16666666666666666][73.0], [-0.16666666666666666][73.0], [-0.0][73.0], [-0.0][73.0], [-0.0][73.0], [-0.0][73.0], [-0.0][73.0], [0.5][73.0], [0.5][73.0], [0.5][73.0], [0.9166666666666666][73.0], [0.9166666666666666][73.0], [1.0][73.0], [1.1666666666666665][73.0], [1.5][73.0], [-0.5][74.0], [-0.5][74.0], [-0.5][74.0]]", 40
320, 0.9407869310000001, [[0.07499999999999996][68.0]], "[[0.07499999999999996][68.0], [0.44444444444444453][68.0], [0.5][68.0], [0.33333333333333337][69.0], [1.5][69.0], [2.0833333333333335][69.0], [-0.0][70.0], [-0.0][70.0], [-0.0][70.0], [-0.0][70.0], [0.6][70.0], [1.125][70.0], [1.333333333333333][70.0], [1.9583333333333335][70.0], [2.0][70.0], [2.0][70.0], [-0.25][71.0], [-0.0][71.0], [-0.0][71.0], [-0.0][71.0], [-0.0][71.0], [-0.0][71.0], [-0.0][71.0], [0.375][71.0], [0.875][71.0], [0.9166666666666667][71.0], [1.5][71.0], [2.0][71.0], [2.3333333333333335][71.0], [-0.5][72.0], [-0.5][72.0], [-0.5][72.0], [-0.0][72.0], [0.16666666666666666][72.0], [0.33333333333333326][72.0], [0.3333333333333333][72.0], [0.5416666666666666][72.0], [1.0][72.0], [1.0][72.0], [1.0][72.0]]", 40
360, 0.9792519160000001, [[1.325][66.0]], "[[1.325][66.0], [0.07499999999999996][68.0], [0.25][68.0], [0.44444444444444453][68.0], [0.44444444444444453][68.0], [0.5][68.0], [0.07499999999999996][69.0], [0.33333333333333337][69.0], [0.33333333333333337][69.0], [0.75][69.0], [1.0][69.0], [1.5][69.0], [1.5][69.0], [1.975][69.0], [2.0833333333333335][69.0], [2.125][69.0], [2.333333333333333][69.0], [2.4166666666666665][69.0], [2.8333333333333335][69.0], [-0.5][70.0], [-0.5][70.0], [-0.0][70.0], [-0.0][70.0], [-0.0][70.0], [-0.0][70.0], [-0.0][70.0], [-0.0][70.0], [-0.0][70.0], [0.5][70.0], [0.6][70.0], [1.125][70.0], [1.333333333333333][70.0], [1.9583333333333335][70.0], [2.0][70.0], [2.0][70.0], [-1.0][71.0], [-0.25][71.0], [-0.0][71.0], [-0.0][71.0], [-0.0][71.0]]", 40
400, 1.0084320820000001, [[1.7777777777777777][65.0]], "[[1.7777777777777777][65.0], [1.1111111111111112][66.0], [1.325][66.0], [1.325][66.0], [2.0][66.0], [0.3680555555555556][67.0], [0.6833333333333332][67.0], [1.5833333333333333][67.0], [-0.0][68.0], [-0.0][68.0], [0.07499999999999996][68.0], [0.07499999999999996][68.0], [0.07499999999999996][68.0], [0.07499999999999996][68.0], [0.25][68.0], [0.44444444444444453][68.0], [0.44444444444444453][68.0], [0.5][68.0], [1.5][68.0], [1.5][68.0], [1.75][68.0], [2.0][68.0], [2.3][68.0], [2.8333333333333335][68.0], [-0.0][69.0], [0.07499999999999996][69.0], [0.33333333333333337][69.0], [0.33333333333333337][69.0], [0.6944444444444445][69.0], [0.75][69.0], [0.75][69.0], [0.8333333333333333][69.0], [1.0][69.0], [1.5][69.0], [1.5][69.0], [1.5][69.0], [1.975][69.0], [2.0833333333333335][69.0], [2.125][69.0], [2.333333333333333][69.0]]", 40
