NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 0.8569725810000001, [[-0.0][31.0]], "[[-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][34.0], [-0.0][35.0], [-0.0][35.0], [-0.0][34.0], [-0.0][32.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][31.0], [-0.0][35.0], [-0.0][35.0], [-0.0][34.0], [-0.0][34.0], [-0.0][35.0], [-0.0][35.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][35.0], [-0.0][34.0], [-0.0][34.0], [-0.0][33.0], [-0.0][32.0], [-0.0][34.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][34.0], [-0.0][35.0], [-0.0][34.0], [-0.0][35.0], [-0.0][34.0], [-0.0][35.0]]", 40
80, 0.8712058220000001, [[-0.0][31.0]], "[[-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [1.0][32.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0]]", 40
120, 0.8875222620000001, [[0.5][28.0]], "[[0.5][28.0], [1.0][29.0], [1.0][29.0], [-1.5][30.0], [-0.0][30.0], [-0.0][30.0], [-0.5][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [0.5][31.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [0.5][32.0], [1.0][32.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0]]", 40
160, 0.9036465730000001, [[2.75][26.0]], "[[2.75][26.0], [-0.5][28.0], [-0.5][28.0], [-0.0][28.0], [0.5][28.0], [0.5][28.0], [-1.3333333333333333][29.0], [1.0][29.0], [1.0][29.0], [1.0][29.0], [1.0][29.0], [1.5][29.0], [-1.5][30.0], [-1.5][30.0], [-0.5][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [1.0][30.0], [1.0][30.0], [1.0][30.0], [-0.5][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [0.5][31.0], [1.0][31.0], [1.0][31.0], [3.0][31.0], [-0.0][32.0], [-0.0][32.0]]", 40
200, 0.9186227050000001, [[3.75][25.0]], "[[3.75][25.0], [1.3333333333333333][26.0], [2.1666666666666665][26.0], [2.75][26.0], [-0.39999999999999997][27.0], [1.6666666666666665][27.0], [-1.0][28.0], [-0.5][28.0], [-0.5][28.0], [-0.0][28.0], [-0.0][28.0], [0.5][28.0], [0.5][28.0], [1.0][28.0], [1.5][28.0], [-1.3333333333333333][29.0], [-1.3333333333333333][29.0], [-0.16666666666666666][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [0.5][29.0], [1.0][29.0], [1.0][29.0], [1.0][29.0], [1.0][29.0], [1.0][29.0], [1.0][29.0], [1.0][29.0], [1.5][29.0], [-1.5][30.0], [-1.5][30.0], [-0.75][30.0], [-0.6666666666666666][30.0], [-0.6666666666666666][30.0], [-0.5][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0]]", 40
240, 0.9339062060000001, [[1.9166666666666667][24.0]], "[[1.9166666666666667][24.0], [1.9999999999999998][24.0], [2.0][24.0], [2.75][24.0], [2.25][25.0], [3.75][25.0], [3.75][25.0], [-0.0][26.0], [1.3333333333333333][26.0], [1.5][26.0], [2.1666666666666665][26.0], [2.1666666666666665][26.0], [2.75][26.0], [-1.0][27.0], [-0.5][27.0], [-0.39999999999999997][27.0], [-0.39999999999999997][27.0], [-0.39999999999999997][27.0], [-0.39999999999999997][27.0], [1.5][27.0], [1.6666666666666665][27.0], [-1.0][28.0], [-0.8333333333333333][28.0], [-0.5][28.0], [-0.5][28.0], [-0.5][28.0], [-0.3333333333333333][28.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0], [0.5][28.0], [0.5][28.0], [0.5][28.0], [1.0][28.0], [1.5][28.0], [1.5][28.0], [2.0][28.0], [2.0][28.0]]", 40
280, 0.949636217, [[2.25][23.0]], "[[2.25][23.0], [-0.08333333333333326][24.0], [1.2499999999999998][24.0], [1.9166666666666667][24.0], [1.9999999999999998][24.0], [2.0][24.0], [2.75][24.0], [2.1666666666666665][25.0], [2.1666666666666665][25.0], [2.25][25.0], [3.75][25.0], [3.75][25.0], [-1.3333333333333335][26.0], [-0.5][26.0], [-0.25][26.0], [-0.0][26.0], [-0.0][26.0], [0.10000000000000003][26.0], [0.75][26.0], [1.3333333333333333][26.0], [1.5][26.0], [1.5][26.0], [2.1666666666666665][26.0], [2.1666666666666665][26.0], [2.75][26.0], [-1.0][27.0], [-0.6][27.0], [-0.6][27.0], [-0.5][27.0], [-0.41666666666666663][27.0], [-0.39999999999999997][27.0], [-0.39999999999999997][27.0], [-0.39999999999999997][27.0], [-0.39999999999999997][27.0], [-0.3][27.0], [-0.0][27.0], [-0.0][27.0], [-0.0][27.0], [0.16666666666666669][27.0], [1.0][27.0]]", 40
320, 0.964720565, [[3.9999999999999996][22.0]], "[[3.9999999999999996][22.0], [4.25][22.0], [5.75][22.0], [2.25][23.0], [-0.08333333333333326][24.0], [-0.08333333333333326][24.0], [0.6000000000000001][24.0], [1.2499999999999998][24.0], [1.3333333333333333][24.0], [1.9166666666666667][24.0], [1.9999999999999998][24.0], [2.0][24.0], [2.1666666666666665][24.0], [2.75][24.0], [3.1666666666666665][24.0], [3.25][24.0], [3.6666666666666665][24.0], [4.75][24.0], [-0.833333333333333][25.0], [0.5][25.0], [0.75][25.0], [0.9166666666666667][25.0], [1.5][25.0], [2.1666666666666665][25.0], [2.1666666666666665][25.0], [2.25][25.0], [3.75][25.0], [3.75][25.0], [-1.3333333333333335][26.0], [-0.5][26.0], [-0.5][26.0], [-0.39999999999999997][26.0], [-0.38888888888888884][26.0], [-0.26666666666666666][26.0], [-0.25][26.0], [-0.0][26.0], [-0.0][26.0], [-0.0][26.0], [0.10000000000000003][26.0], [0.10000000000000003][26.0]]", 40
360, 0.9840322010000001, [[5.083333333333333][20.0]], "[[5.083333333333333][20.0], [6.666666666666667][20.0], [1.9999999999999998][22.0], [3.25][22.0], [3.9999999999999996][22.0], [4.25][22.0], [4.25][22.0], [4.25][22.0], [5.75][22.0], [0.26666666666666683][23.0], [1.6666666666666665][23.0], [1.7499999999999998][23.0], [2.25][23.0], [2.25][23.0], [2.6666666666666665][23.0], [3.083333333333333][23.0], [-1.833333333333333][24.0], [-0.08333333333333326][24.0], [-0.08333333333333326][24.0], [-0.08333333333333326][24.0], [-0.08333333333333326][24.0], [-0.08333333333333326][24.0], [-0.050000000000000044][24.0], [0.4583333333333335][24.0], [0.6000000000000001][24.0], [1.2499999999999998][24.0], [1.2499999999999998][24.0], [1.3333333333333333][24.0], [1.6666666666666665][24.0], [1.9166666666666667][24.0], [1.9999999999999998][24.0], [2.0][24.0], [2.0][24.0], [2.1666666666666665][24.0], [2.5][24.0], [2.5][24.0], [2.75][24.0], [3.1666666666666665][24.0], [3.25][24.0], [3.6666666666666665][24.0]]", 40
400, 1.005498936, [[6.583333333333333][19.0]], "[[6.583333333333333][19.0], [2.916666666666666][20.0], [3.1944444444444446][20.0], [5.027777777777778][20.0], [5.083333333333333][20.0], [5.500000000000001][20.0], [6.666666666666667][20.0], [0.45833333333333326][21.0], [4.25][21.0], [4.5][21.0], [5.25][21.0], [6.25][21.0], [0.04444444444444473][22.0], [1.6111111111111107][22.0], [1.9999999999999998][22.0], [1.9999999999999998][22.0], [3.0277777777777777][22.0], [3.25][22.0], [3.25][22.0], [3.6666666666666665][22.0], [3.9999999999999996][22.0], [4.25][22.0], [4.25][22.0], [4.25][22.0], [5.75][22.0], [5.75][22.0], [5.75][22.0], [0.26666666666666683][23.0], [1.2499999999999998][23.0], [1.6666666666666665][23.0], [1.7499999999999998][23.0], [2.0][23.0], [2.25][23.0], [2.25][23.0], [2.416666666666667][23.0], [2.6666666666666665][23.0], [3.083333333333333][23.0], [3.083333333333333][23.0], [-1.833333333333333][24.0], [-0.09999999999999987][24.0]]", 40
