NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 1.029583779, [[-1.0][12.0]], "[[-1.0][15.0], [-0.25][14.0], [-1.0][16.0], [-0.6666666666666666][14.0], [-0.0][16.0], [-0.0][18.0], [1.0][14.0], [-0.0][16.0], [-0.0][17.0], [1.0][14.0], [1.0][13.0], [-0.5][15.0], [-0.0][16.0], [-0.0][17.0], [-0.0][15.0], [-0.5][16.0], [-0.0][18.0], [-0.0][16.0], [-0.0][16.0], [-0.0][15.0], [2.0][12.0], [-0.0][16.0], [-0.0][17.0], [-0.0][15.0], [-0.0][17.0], [1.0][15.0], [-1.0][12.0], [-0.0][16.0], [-0.0][16.0], [-0.0][15.0], [-0.5][15.0], [-0.0][16.0], [-0.0][16.0], [-0.0][16.0], [-0.0][16.0], [1.0][14.0], [-0.6666666666666666][15.0], [-0.0][15.0], [-1.0][16.0], [-0.0][17.0]]", 40
80, 1.09166643, [[2.75][10.0]], "[[2.75][10.0], [-0.6666666666666666][11.0], [0.6666666666666666][11.0], [1.0][11.0], [4.0][11.0], [-1.0][12.0], [0.75][12.0], [1.0][12.0], [1.0][12.0], [1.25][12.0], [1.5][12.0], [2.0][12.0], [2.5][12.0], [-0.0][13.0], [0.3333333333333333][13.0], [0.5][13.0], [0.5][13.0], [0.6666666666666667][13.0], [1.0][13.0], [1.0][13.0], [-1.0][14.0], [-0.6666666666666666][14.0], [-0.5][14.0], [-0.3333333333333333][14.0], [-0.25][14.0], [-0.0][14.0], [-0.0][14.0], [1.0][14.0], [1.0][14.0], [1.0][14.0], [1.0][14.0], [1.0][14.0], [2.0][14.0], [3.0][14.0], [-1.0][15.0], [-0.6666666666666666][15.0], [-0.5][15.0], [-0.5][15.0], [-0.5][15.0], [-0.0][15.0]]", 40
120, 1.17173061, [[-0.375][8.0]], "[[-0.375][8.0], [2.0][9.0], [5.0][9.0], [1.5][10.0], [2.75][10.0], [3.0][10.0], [3.0][10.0], [-0.6666666666666667][11.0], [-0.6666666666666666][11.0], [-0.3333333333333333][11.0], [0.6666666666666666][11.0], [0.75][11.0], [1.0][11.0], [2.0][11.0], [3.0][11.0], [3.0][11.0], [4.0][11.0], [-1.0][12.0], [-0.0][12.0], [-0.0][12.0], [0.16666666666666666][12.0], [0.3333333333333333][12.0], [0.75][12.0], [1.0][12.0], [1.0][12.0], [1.0][12.0], [1.0][12.0], [1.0][12.0], [1.25][12.0], [1.5][12.0], [1.5][12.0], [2.0][12.0], [2.0][12.0], [2.0][12.0], [2.5][12.0], [-1.0][13.0], [-0.5][13.0], [-0.0][13.0], [-0.0][13.0], [0.3333333333333333][13.0]]", 40
160, 1.2499311830000002, [[5.5][7.0]], "[[5.5][7.0], [-0.5][8.0], [-0.375][8.0], [0.10000000000000009][8.0], [0.9166666666666665][8.0], [1.0][8.0], [3.583333333333333][8.0], [5.0][8.0], [-0.5][9.0], [-0.16666666666666669][9.0], [0.75][9.0], [1.0][9.0], [1.0][9.0], [2.0][9.0], [3.0][9.0], [3.5][9.0], [4.0][9.0], [4.5][9.0], [5.0][9.0], [5.0][9.0], [-0.875][10.0], [0.5][10.0], [1.5][10.0], [1.5][10.0], [2.75][10.0], [3.0][10.0], [3.0][10.0], [3.0][10.0], [-0.6666666666666667][11.0], [-0.6666666666666666][11.0], [-0.3333333333333333][11.0], [-0.0][11.0], [0.125][11.0], [0.6666666666666666][11.0], [0.75][11.0], [1.0][11.0], [1.0][11.0], [2.0][11.0], [2.0][11.0], [2.25][11.0]]", 40
200, 1.319684679, [[8.5][5.0]], "[[8.5][5.0], [-0.3333333333333333][6.0], [0.125][6.0], [7.0][6.0], [-0.0][7.0], [0.625][7.0], [0.9999999999999999][7.0], [1.25][7.0], [2.5][7.0], [3.0][7.0], [5.0][7.0], [5.5][7.0], [-0.5][8.0], [-0.375][8.0], [-0.375][8.0], [0.10000000000000009][8.0], [0.11111111111111105][8.0], [0.8333333333333333][8.0], [0.9166666666666665][8.0], [1.0][8.0], [1.3333333333333335][8.0], [2.25][8.0], [3.583333333333333][8.0], [5.0][8.0], [5.0][8.0], [5.0][8.0], [5.0][8.0], [-0.611111111111111][9.0], [-0.5][9.0], [-0.35416666666666663][9.0], [-0.29166666666666663][9.0], [-0.2][9.0], [-0.16666666666666669][9.0], [0.75][9.0], [1.0][9.0], [1.0][9.0], [1.0][9.0], [1.25][9.0], [1.8333333333333333][9.0], [2.0][9.0]]", 40
240, 1.388479097, [[11.5][3.0]], "[[11.5][3.0], [1.4583333333333335][4.0], [8.0][4.0], [1.1666666666666665][5.0], [1.625][5.0], [8.5][5.0], [-0.5][6.0], [-0.3333333333333333][6.0], [-0.16666666666666669][6.0], [0.125][6.0], [0.16666666666666663][6.0], [0.7666666666666666][6.0], [0.9444444444444443][6.0], [1.333333333333333][6.0], [3.75][6.0], [5.416666666666666][6.0], [5.75][6.0], [7.0][6.0], [7.0][6.0], [-1.0][7.0], [-0.0][7.0], [0.33333333333333326][7.0], [0.33333333333333337][7.0], [0.625][7.0], [0.625][7.0], [0.9999999999999999][7.0], [1.1][7.0], [1.25][7.0], [2.5][7.0], [3.0][7.0], [5.0][7.0], [5.0][7.0], [5.0][7.0], [5.5][7.0], [6.0][7.0], [-0.5][8.0], [-0.375][8.0], [-0.375][8.0], [-0.25][8.0], [0.10000000000000009][8.0]]", 40
280, 1.4551633750000001, [[9.75][2.0]], "[[9.75][2.0], [10.0][2.0], [12.0][2.0], [1.3888888888888888][3.0], [11.5][3.0], [-0.6555555555555554][4.0], [-0.20833333333333337][4.0], [0.3666666666666666][4.0], [0.6041666666666665][4.0], [1.25][4.0], [1.4583333333333335][4.0], [2.4166666666666665][4.0], [3.0833333333333335][4.0], [6.0][4.0], [8.0][4.0], [8.5][4.0], [10.0][4.0], [-1.3333333333333333][5.0], [-0.6666666666666667][5.0], [0.20000000000000018][5.0], [1.1666666666666665][5.0], [1.3888888888888888][5.0], [1.625][5.0], [1.7222222222222219][5.0], [2.0000000000000004][5.0], [2.333333333333333][5.0], [4.999999999999999][5.0], [7.0][5.0], [7.0][5.0], [8.5][5.0], [-0.5][6.0], [-0.3333333333333333][6.0], [-0.24999999999999994][6.0], [-0.16666666666666669][6.0], [0.125][6.0], [0.16666666666666663][6.0], [0.5000000000000001][6.0], [0.7666666666666666][6.0], [0.9166666666666667][6.0], [0.9444444444444443][6.0]]", 40
320, 1.506970771, [[13.0][0.0]], "[[13.0][0.0], [1.1166666666666667][1.0], [10.25][1.0], [1.0666666666666667][2.0], [1.7499999999999996][2.0], [3.333333333333333][2.0], [5.916666666666666][2.0], [8.333333333333334][2.0], [9.75][2.0], [9.75][2.0], [10.0][2.0], [10.5][2.0], [11.25][2.0], [11.75][2.0], [12.0][2.0], [1.1666666666666665][3.0], [1.3888888888888888][3.0], [2.0][3.0], [5.166666666666666][3.0], [11.5][3.0], [-0.6555555555555554][4.0], [-0.35000000000000003][4.0], [-0.20833333333333337][4.0], [0.3055555555555556][4.0], [0.3666666666666666][4.0], [0.6041666666666665][4.0], [0.833333333333333][4.0], [1.25][4.0], [1.375][4.0], [1.4583333333333335][4.0], [1.722222222222222][4.0], [2.4166666666666665][4.0], [3.0833333333333335][4.0], [3.3333333333333335][4.0], [3.9999999999999996][4.0], [6.0][4.0], [8.0][4.0], [8.0][4.0], [8.5][4.0], [10.0][4.0]]", 40
360, 1.5624557970000001, [[4.166666666666667][0.0]], "[[4.166666666666667][0.0], [10.0][0.0], [11.5][0.0], [13.0][0.0], [13.0][0.0], [13.0][0.0], [14.75][0.0], [16.75][0.0], [1.1166666666666667][1.0], [1.2166666666666666][1.0], [2.366666666666667][1.0], [2.9833333333333334][1.0], [5.291666666666666][1.0], [10.0][1.0], [10.25][1.0], [10.5][1.0], [11.75][1.0], [12.25][1.0], [0.06666666666666643][2.0], [0.20000000000000018][2.0], [0.5000000000000002][2.0], [1.0666666666666667][2.0], [1.7499999999999996][2.0], [1.9499999999999997][2.0], [3.1666666666666665][2.0], [3.333333333333333][2.0], [5.916666666666666][2.0], [6.833333333333333][2.0], [8.333333333333334][2.0], [8.75][2.0], [9.0][2.0], [9.5][2.0], [9.75][2.0], [9.75][2.0], [10.0][2.0], [10.0][2.0], [10.5][2.0], [11.25][2.0], [11.75][2.0], [12.0][2.0]]", 40
400, 1.6220687100000002, [[0.8111111111111111][0.0]], "[[0.8111111111111111][0.0], [1.1904761904761902][0.0], [2.9166666666666665][0.0], [3.1249999999999996][0.0], [4.041666666666667][0.0], [4.166666666666667][0.0], [7.916666666666668][0.0], [9.583333333333334][0.0], [10.0][0.0], [11.5][0.0], [12.5][0.0], [13.0][0.0], [13.0][0.0], [13.0][0.0], [13.5][0.0], [14.75][0.0], [14.75][0.0], [16.75][0.0], [1.1166666666666667][1.0], [1.2166666666666666][1.0], [1.2999999999999998][1.0], [2.366666666666667][1.0], [2.9833333333333334][1.0], [3.0833333333333335][1.0], [4.166666666666666][1.0], [5.291666666666666][1.0], [5.583333333333334][1.0], [6.999999999999999][1.0], [8.5][1.0], [9.75][1.0], [10.0][1.0], [10.083333333333334][1.0], [10.25][1.0], [10.25][1.0], [10.5][1.0], [10.5][1.0], [11.0][1.0], [11.75][1.0], [12.25][1.0], [13.166666666666666][1.0]]", 40
