NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 0.5701752290000001, [[-0.5][30.0]], "[[-0.0][34.0], [-0.5][32.0], [-0.0][34.0], [1.0][32.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][35.0], [-0.0][35.0], [-0.0][35.0], [-0.0][34.0], [-0.0][32.0], [-0.5][30.0], [-0.0][35.0], [-0.0][34.0], [-0.0][35.0], [-0.0][34.0], [-0.0][32.0], [-0.0][34.0], [-0.0][32.0], [-0.0][34.0], [-0.0][35.0], [-0.0][35.0], [-0.0][34.0], [-0.0][33.0], [-0.0][35.0], [-0.0][34.0], [-0.0][35.0], [-0.0][35.0], [-0.0][33.0], [-0.0][34.0], [-0.0][35.0], [-0.0][35.0], [-0.0][34.0], [-1.0][33.0], [-0.0][35.0], [-0.0][34.0], [-0.0][33.0], [-0.0][33.0], [-0.0][35.0]]", 40
80, 0.581569984, [[-0.375][29.0]], "[[-0.375][29.0], [0.5][29.0], [-0.5][30.0], [-0.49999999999999994][30.0], [-0.5][31.0], [-0.3333333333333333][31.0], [-0.0][31.0], [1.0][31.0], [-0.5][32.0], [-0.16666666666666666][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [1.0][32.0], [-1.0][33.0], [-0.5][33.0], [-0.5][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0], [-0.0][34.0]]", 40
120, 0.593118322, [[-0.41666666666666663][28.0]], "[[-0.41666666666666663][28.0], [-0.5][29.0], [-0.5][29.0], [-0.375][29.0], [-0.3333333333333333][29.0], [0.5][29.0], [1.0][29.0], [1.0][29.0], [1.0][29.0], [-0.5][30.0], [-0.49999999999999994][30.0], [0.5][30.0], [-0.5][31.0], [-0.5][31.0], [-0.5][31.0], [-0.3333333333333333][31.0], [-0.3333333333333333][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [1.0][31.0], [1.0][31.0], [-0.5][32.0], [-0.5][32.0], [-0.16666666666666666][32.0], [-0.16666666666666666][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0]]", 40
160, 0.6045975600000001, [[-0.5][27.0]], "[[-0.5][27.0], [1.0][27.0], [2.0][27.0], [-0.41666666666666663][28.0], [-0.41666666666666663][28.0], [-0.25][28.0], [-0.5][29.0], [-0.5][29.0], [-0.5][29.0], [-0.5][29.0], [-0.5][29.0], [-0.375][29.0], [-0.3333333333333333][29.0], [0.5][29.0], [0.5][29.0], [0.6666666666666665][29.0], [1.0][29.0], [1.0][29.0], [1.0][29.0], [1.1666666666666667][29.0], [-0.5][30.0], [-0.5][30.0], [-0.5][30.0], [-0.5][30.0], [-0.49999999999999994][30.0], [-0.0][30.0], [-0.0][30.0], [0.5][30.0], [-0.5][31.0], [-0.5][31.0], [-0.5][31.0], [-0.5][31.0], [-0.5][31.0], [-0.3333333333333333][31.0], [-0.3333333333333333][31.0], [-0.3333333333333333][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0]]", 40
200, 0.6224642140000001, [[2.833333333333333][25.0]], "[[2.833333333333333][25.0], [-0.4][26.0], [2.0][26.0], [2.0][26.0], [-0.5666666666666667][27.0], [-0.5][27.0], [-0.41666666666666663][27.0], [-0.0][27.0], [0.7][27.0], [1.0][27.0], [2.0][27.0], [-0.5][28.0], [-0.41666666666666663][28.0], [-0.41666666666666663][28.0], [-0.3333333333333333][28.0], [-0.25][28.0], [-0.25][28.0], [-0.0][28.0], [0.2][28.0], [0.3333333333333333][28.0], [0.5][28.0], [3.5][28.0], [-0.625][29.0], [-0.5][29.0], [-0.5][29.0], [-0.5][29.0], [-0.5][29.0], [-0.5][29.0], [-0.5][29.0], [-0.5][29.0], [-0.5][29.0], [-0.375][29.0], [-0.3333333333333333][29.0], [-0.3333333333333333][29.0], [-0.16666666666666669][29.0], [-0.0][29.0], [0.5][29.0], [0.5][29.0], [0.5][29.0], [0.6666666666666665][29.0]]", 40
240, 0.6375621370000001, [[-0.39166666666666666][25.0]], "[[-0.39166666666666666][25.0], [-0.2857142857142857][25.0], [-0.27777777777777785][25.0], [-0.2][25.0], [1.1666666666666665][25.0], [2.333333333333333][25.0], [2.333333333333333][25.0], [2.833333333333333][25.0], [-0.5][26.0], [-0.5][26.0], [-0.5][26.0], [-0.41666666666666663][26.0], [-0.4][26.0], [0.09999999999999998][26.0], [0.33333333333333337][26.0], [1.3333333333333335][26.0], [2.0][26.0], [2.0][26.0], [-0.5666666666666667][27.0], [-0.5666666666666667][27.0], [-0.5][27.0], [-0.41666666666666663][27.0], [-0.41666666666666663][27.0], [-0.3][27.0], [-0.16666666666666663][27.0], [-0.0][27.0], [0.5][27.0], [0.7][27.0], [0.7][27.0], [1.0][27.0], [1.0][27.0], [1.0][27.0], [1.0][27.0], [2.0][27.0], [3.5][27.0], [-0.5833333333333334][28.0], [-0.5][28.0], [-0.5][28.0], [-0.41666666666666663][28.0], [-0.41666666666666663][28.0]]", 40
280, 0.6532160770000001, [[2.833333333333333][23.0]], "[[2.833333333333333][23.0], [3.666666666666667][23.0], [3.833333333333333][23.0], [-0.27777777777777785][24.0], [-0.08333333333333331][24.0], [5.333333333333333][24.0], [-0.5833333333333334][25.0], [-0.39166666666666666][25.0], [-0.39166666666666666][25.0], [-0.39166666666666666][25.0], [-0.2857142857142857][25.0], [-0.2857142857142857][25.0], [-0.27777777777777785][25.0], [-0.23333333333333334][25.0], [-0.2][25.0], [0.05555555555555547][25.0], [0.43333333333333324][25.0], [0.7][25.0], [1.1666666666666665][25.0], [1.1666666666666665][25.0], [2.333333333333333][25.0], [2.333333333333333][25.0], [2.333333333333333][25.0], [2.333333333333333][25.0], [2.833333333333333][25.0], [-0.6666666666666666][26.0], [-0.5][26.0], [-0.5][26.0], [-0.5][26.0], [-0.41666666666666663][26.0], [-0.4][26.0], [-0.3][26.0], [-0.3][26.0], [0.09999999999999998][26.0], [0.09999999999999998][26.0], [0.33333333333333337][26.0], [0.5][26.0], [1.3333333333333335][26.0], [1.5][26.0], [2.0][26.0]]", 40
320, 0.667951034, [[3.833333333333333][22.0]], "[[3.833333333333333][22.0], [3.9999999999999996][22.0], [5.166666666666666][22.0], [-0.3][23.0], [-0.033333333333333326][23.0], [1.0][23.0], [2.833333333333333][23.0], [3.0][23.0], [3.6666666666666665][23.0], [3.666666666666667][23.0], [3.833333333333333][23.0], [-0.43333333333333335][24.0], [-0.27777777777777785][24.0], [-0.1428571428571429][24.0], [-0.08333333333333331][24.0], [-0.06250000000000011][24.0], [0.3666666666666666][24.0], [1.4500000000000002][24.0], [1.5][24.0], [1.9][24.0], [2.333333333333333][24.0], [2.333333333333333][24.0], [3.5][24.0], [5.333333333333333][24.0], [-0.5833333333333334][25.0], [-0.5666666666666667][25.0], [-0.5][25.0], [-0.39166666666666666][25.0], [-0.39166666666666666][25.0], [-0.39166666666666666][25.0], [-0.2857142857142857][25.0], [-0.2857142857142857][25.0], [-0.27777777777777785][25.0], [-0.27777777777777785][25.0], [-0.23333333333333334][25.0], [-0.2][25.0], [0.05555555555555547][25.0], [0.05555555555555547][25.0], [0.43333333333333324][25.0], [0.7][25.0]]", 40
360, 0.683996268, [[6.125][20.0]], "[[6.125][20.0], [5.166666666666666][21.0], [1.0][22.0], [3.5][22.0], [3.833333333333333][22.0], [3.833333333333333][22.0], [3.9999999999999996][22.0], [4.25][22.0], [5.166666666666666][22.0], [5.75][22.0], [5.833333333333333][22.0], [6.166666666666666][22.0], [-0.40555555555555556][23.0], [-0.3][23.0], [-0.2666666666666667][23.0], [-0.033333333333333326][23.0], [-0.033333333333333326][23.0], [1.0][23.0], [1.0][23.0], [1.0][23.0], [2.0][23.0], [2.5][23.0], [2.833333333333333][23.0], [3.0][23.0], [3.6666666666666665][23.0], [3.6666666666666665][23.0], [3.666666666666667][23.0], [3.833333333333333][23.0], [-0.43333333333333335][24.0], [-0.43333333333333335][24.0], [-0.27777777777777785][24.0], [-0.225][24.0], [-0.16666666666666663][24.0], [-0.1428571428571429][24.0], [-0.08333333333333331][24.0], [-0.06250000000000011][24.0], [-0.05555555555555558][24.0], [0.3666666666666666][24.0], [0.3666666666666666][24.0], [1.4500000000000002][24.0]]", 40
400, 0.701259007, [[5.25][19.0]], "[[5.25][19.0], [5.749999999999999][20.0], [6.125][20.0], [6.125][20.0], [4.125][21.0], [5.166666666666666][21.0], [5.166666666666666][21.0], [7.166666666666666][21.0], [8.833333333333332][21.0], [-0.11904761904761907][22.0], [0.10833333333333334][22.0], [1.0][22.0], [2.75][22.0], [3.5][22.0], [3.5][22.0], [3.833333333333333][22.0], [3.833333333333333][22.0], [3.833333333333333][22.0], [3.875][22.0], [3.9999999999999996][22.0], [4.25][22.0], [4.5][22.0], [4.75][22.0], [5.166666666666666][22.0], [5.166666666666666][22.0], [5.166666666666666][22.0], [5.75][22.0], [5.833333333333333][22.0], [6.166666666666666][22.0], [-0.40555555555555556][23.0], [-0.3][23.0], [-0.2666666666666667][23.0], [-0.033333333333333326][23.0], [-0.033333333333333326][23.0], [-0.033333333333333326][23.0], [1.0][23.0], [1.0][23.0], [1.0][23.0], [1.25][23.0], [2.0][23.0]]", 40
