NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 0.5412127680000001, [[-0.5][6.0]], "[[-0.0][6.0], [-0.5][6.0], [-0.0][9.0], [-0.0][7.0], [-0.0][6.0], [-0.0][9.0], [-0.0][9.0], [-0.0][9.0], [-0.0][8.0], [-0.0][8.0], [-0.0][7.0], [1.0][7.0], [-0.0][8.0], [-0.0][8.0], [-0.0][9.0], [-0.0][9.0], [-0.0][9.0], [-0.0][9.0], [-0.0][8.0], [-0.0][8.0], [-0.0][9.0], [-0.0][9.0], [-0.0][9.0], [-0.0][8.0], [-0.0][8.0], [-0.0][9.0], [-0.0][9.0], [-0.0][8.0], [-0.0][8.0], [-0.0][8.0], [-0.0][8.0], [-0.0][8.0], [-0.0][8.0], [-1.0][7.0], [-0.0][8.0], [-0.0][9.0], [-0.0][9.0], [-0.0][9.0], [-0.0][9.0], [-0.0][7.0]]", 40
80, 0.546394198, [[-0.0][4.0]], "[[-0.0][4.0], [1.0][4.0], [-1.0][5.0], [1.0][5.0], [-0.5][6.0], [-0.0][6.0], [-0.0][6.0], [-0.0][6.0], [-0.0][6.0], [-0.0][6.0], [-0.0][6.0], [-1.0][7.0], [-1.0][7.0], [-1.0][7.0], [-1.0][7.0], [-1.0][7.0], [-0.0][7.0], [-0.0][7.0], [-0.0][7.0], [-0.0][7.0], [-0.0][7.0], [-0.0][7.0], [-0.0][7.0], [-0.0][7.0], [1.0][7.0], [1.0][7.0], [1.0][7.0], [1.0][7.0], [1.0][7.0], [1.0][7.0], [-0.0][8.0], [-0.0][8.0], [-0.0][8.0], [-0.0][8.0], [-0.0][8.0], [-0.0][8.0], [-0.0][8.0], [-0.0][8.0], [-0.0][8.0], [-0.0][8.0]]", 40
120, 0.551899684, [[2.5][2.0]], "[[2.5][2.0], [1.5][3.0], [-0.6666666666666666][4.0], [-0.0][4.0], [1.0][4.0], [1.0][4.0], [-1.0][5.0], [-1.0][5.0], [-1.0][5.0], [-0.3333333333333333][5.0], [-0.0][5.0], [-0.0][5.0], [-0.0][5.0], [0.5][5.0], [1.0][5.0], [-1.0][6.0], [-1.0][6.0], [-0.5][6.0], [-0.0][6.0], [-0.0][6.0], [-0.0][6.0], [-0.0][6.0], [-0.0][6.0], [-0.0][6.0], [-0.0][6.0], [-0.0][6.0], [-0.0][6.0], [-0.0][6.0], [1.0][6.0], [2.0][6.0], [-1.0][7.0], [-1.0][7.0], [-1.0][7.0], [-1.0][7.0], [-1.0][7.0], [-1.0][7.0], [-0.5][7.0], [-0.5][7.0], [-0.0][7.0], [-0.0][7.0]]", 40
160, 0.564106686, [[2.5][2.0]], "[[2.5][2.0], [2.5][2.0], [3.0][2.0], [0.33333333333333337][3.0], [0.5][3.0], [0.6666666666666666][3.0], [1.0][3.0], [1.3333333333333333][3.0], [1.5][3.0], [1.5][3.0], [3.0][3.0], [-0.8333333333333333][4.0], [-0.6666666666666666][4.0], [-0.6666666666666666][4.0], [-0.6666666666666666][4.0], [-0.5][4.0], [-0.3333333333333333][4.0], [-0.0][4.0], [0.5][4.0], [1.0][4.0], [1.0][4.0], [1.0][4.0], [-1.0][5.0], [-1.0][5.0], [-1.0][5.0], [-0.3333333333333333][5.0], [-0.3333333333333333][5.0], [-0.0][5.0], [-0.0][5.0], [-0.0][5.0], [-0.0][5.0], [-0.0][5.0], [0.5][5.0], [0.5][5.0], [1.0][5.0], [1.0][5.0], [1.0][5.0], [-1.0][6.0], [-1.0][6.0], [-1.0][6.0]]", 40
200, 0.5781222460000001, [[2.833333333333333][0.0]], "[[2.833333333333333][0.0], [5.0][1.0], [-0.0][2.0], [0.5][2.0], [1.25][2.0], [2.0][2.0], [2.5][2.0], [2.5][2.0], [2.5][2.0], [3.0][2.0], [3.0][2.0], [3.0][2.0], [-0.75][3.0], [0.33333333333333337][3.0], [0.5][3.0], [0.6666666666666666][3.0], [0.6666666666666667][3.0], [0.75][3.0], [1.0][3.0], [1.3333333333333333][3.0], [1.3333333333333333][3.0], [1.5][3.0], [1.5][3.0], [1.5][3.0], [1.75][3.0], [3.0][3.0], [-0.8333333333333333][4.0], [-0.8333333333333333][4.0], [-0.6666666666666666][4.0], [-0.6666666666666666][4.0], [-0.6666666666666666][4.0], [-0.6666666666666666][4.0], [-0.5][4.0], [-0.3333333333333333][4.0], [-0.3333333333333333][4.0], [-0.16666666666666669][4.0], [-0.0][4.0], [0.5][4.0], [0.5][4.0], [1.0][4.0]]", 40
240, 0.5976763850000001, [[2.833333333333333][0.0]], "[[2.833333333333333][0.0], [2.833333333333333][0.0], [3.166666666666667][1.0], [3.25][1.0], [5.0][1.0], [5.5][1.0], [-0.5][2.0], [-0.5][2.0], [-0.0][2.0], [0.5][2.0], [1.25][2.0], [1.25][2.0], [1.5][2.0], [1.75][2.0], [2.0][2.0], [2.0][2.0], [2.5][2.0], [2.5][2.0], [2.5][2.0], [2.5][2.0], [3.0][2.0], [3.0][2.0], [3.0][2.0], [-0.75][3.0], [-0.49999999999999994][3.0], [-0.0][3.0], [0.33333333333333337][3.0], [0.33333333333333337][3.0], [0.5][3.0], [0.6666666666666666][3.0], [0.6666666666666667][3.0], [0.6666666666666667][3.0], [0.75][3.0], [1.0][3.0], [1.0][3.0], [1.3333333333333333][3.0], [1.3333333333333333][3.0], [1.5][3.0], [1.5][3.0], [1.5][3.0]]", 40
280, 0.612340804, [[2.833333333333333][0.0]], "[[2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [3.4999999999999996][0.0], [4.5][0.0], [5.166666666666666][0.0], [-0.6666666666666666][1.0], [-0.0][1.0], [-0.0][1.0], [3.0][1.0], [3.166666666666667][1.0], [3.25][1.0], [4.0][1.0], [4.5][1.0], [4.75][1.0], [5.0][1.0], [5.5][1.0], [6.0][1.0], [-0.5][2.0], [-0.5][2.0], [-0.0][2.0], [0.5][2.0], [0.5][2.0], [0.75][2.0], [1.0][2.0], [1.0][2.0], [1.25][2.0], [1.25][2.0], [1.5][2.0], [1.5][2.0], [1.75][2.0], [2.0][2.0], [2.0][2.0], [2.0][2.0], [2.0][2.0], [2.5][2.0], [2.5][2.0], [2.5][2.0], [2.5][2.0], [2.5][2.0]]", 40
320, 0.626525635, [[2.833333333333333][0.0]], "[[2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [3.4999999999999996][0.0], [3.5][0.0], [4.5][0.0], [4.5][0.0], [4.833333333333333][0.0], [5.166666666666666][0.0], [5.75][0.0], [-0.6666666666666666][1.0], [-0.6666666666666666][1.0], [-0.25][1.0], [-0.0][1.0], [-0.0][1.0], [1.3333333333333333][1.0], [1.4999999999999998][1.0], [1.75][1.0], [2.0][1.0], [2.0][1.0], [3.0][1.0], [3.166666666666667][1.0], [3.25][1.0], [4.0][1.0], [4.0][1.0], [4.5][1.0], [4.75][1.0], [4.75][1.0], [5.0][1.0], [5.0][1.0], [5.5][1.0], [6.0][1.0], [-1.3333333333333333][2.0], [-0.5][2.0], [-0.5][2.0], [-0.5][2.0], [-0.5][2.0], [-0.0][2.0], [0.5][2.0]]", 40
360, 0.637773965, [[0.75][0.0]], "[[0.75][0.0], [2.0][0.0], [2.0][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [3.4999999999999996][0.0], [3.4999999999999996][0.0], [3.4999999999999996][0.0], [3.5][0.0], [3.5][0.0], [3.583333333333333][0.0], [4.5][0.0], [4.5][0.0], [4.75][0.0], [4.833333333333333][0.0], [5.0][0.0], [5.166666666666666][0.0], [5.25][0.0], [5.75][0.0], [6.0][0.0], [-2.0][1.0], [-0.6666666666666666][1.0], [-0.6666666666666666][1.0], [-0.25][1.0], [-0.0][1.0], [-0.0][1.0], [-0.0][1.0], [1.0][1.0], [1.3333333333333333][1.0], [1.4999999999999998][1.0], [1.75][1.0], [2.0][1.0], [2.0][1.0], [2.0][1.0], [2.0][1.0]]", 40
400, 0.6478773200000001, [[0.75][0.0]], "[[0.75][0.0], [1.1666666666666665][0.0], [1.25][0.0], [1.5][0.0], [2.0][0.0], [2.0][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [2.833333333333333][0.0], [3.0][0.0], [3.125][0.0], [3.4999999999999996][0.0], [3.4999999999999996][0.0], [3.4999999999999996][0.0], [3.4999999999999996][0.0], [3.4999999999999996][0.0], [3.4999999999999996][0.0], [3.5][0.0], [3.5][0.0], [3.5][0.0], [3.5][0.0], [3.583333333333333][0.0], [3.833333333333333][0.0], [4.0][0.0], [4.0][0.0], [4.0][0.0], [4.25][0.0], [4.5][0.0], [4.5][0.0], [4.5][0.0], [4.75][0.0], [4.833333333333333][0.0], [5.0][0.0], [5.0][0.0]]", 40
