NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 0.5543840560000001, [[-0.0][13.0]], "[[-1.5][14.0], [-0.0][15.0], [-0.0][15.0], [-0.0][16.0], [2.5][13.0], [-0.0][17.0], [-0.0][16.0], [-0.0][16.0], [-1.0][15.0], [-0.0][16.0], [-0.0][15.0], [-0.0][16.0], [-0.0][14.0], [-0.5][14.0], [-0.0][15.0], [-0.0][18.0], [-0.0][16.0], [-0.0][15.0], [-0.0][15.0], [-0.0][14.0], [-0.0][15.0], [-0.0][14.0], [-0.0][13.0], [-0.0][16.0], [-0.0][18.0], [-0.0][16.0], [1.0][14.0], [-0.0][14.0], [-0.0][16.0], [-0.0][16.0], [-0.0][15.0], [-0.0][16.0], [-1.0][16.0], [-0.5][14.0], [-0.0][16.0], [-0.0][15.0], [-0.0][16.0], [-0.0][16.0], [-0.0][14.0], [-0.5][16.0]]", 40
80, 0.5893618700000001, [[-0.0][11.0]], "[[-0.0][11.0], [-0.0][11.0], [1.0][11.0], [2.375][11.0], [-0.5][12.0], [-0.0][12.0], [1.0][12.0], [-0.0][13.0], [-0.0][13.0], [-0.0][13.0], [0.25][13.0], [1.0][13.0], [1.0][13.0], [2.5][13.0], [-1.5][14.0], [-0.5][14.0], [-0.5][14.0], [-0.5][14.0], [-0.0][14.0], [-0.0][14.0], [-0.0][14.0], [-0.0][14.0], [-0.0][14.0], [-0.0][14.0], [-0.0][14.0], [-0.0][14.0], [-0.0][14.0], [0.5][14.0], [1.0][14.0], [-1.0][15.0], [-1.0][15.0], [-0.0][15.0], [-0.0][15.0], [-0.0][15.0], [-0.0][15.0], [-0.0][15.0], [-0.0][15.0], [-0.0][15.0], [-0.0][15.0], [-0.0][15.0]]", 40
120, 0.621289568, [[2.5][10.0]], "[[2.5][10.0], [-0.5][11.0], [-0.0][11.0], [-0.0][11.0], [-0.0][11.0], [-0.0][11.0], [0.5][11.0], [1.0][11.0], [1.25][11.0], [2.0][11.0], [2.0][11.0], [2.375][11.0], [2.5][11.0], [-0.5][12.0], [-0.0][12.0], [-0.0][12.0], [-0.0][12.0], [1.0][12.0], [1.5][12.0], [2.0][12.0], [-1.0][13.0], [-0.5][13.0], [-0.0][13.0], [-0.0][13.0], [-0.0][13.0], [-0.0][13.0], [0.25][13.0], [0.75][13.0], [1.0][13.0], [1.0][13.0], [1.0][13.0], [1.0][13.0], [1.0][13.0], [2.5][13.0], [3.5][13.0], [-1.5][14.0], [-1.0][14.0], [-0.5][14.0], [-0.5][14.0], [-0.5][14.0]]", 40
160, 0.6907511040000001, [[3.0][8.0]], "[[3.0][8.0], [3.5][8.0], [0.5][9.0], [1.0][9.0], [1.0][9.0], [1.0][9.0], [2.5][9.0], [2.75][9.0], [3.0][9.0], [-0.16666666666666669][10.0], [0.75][10.0], [1.0][10.0], [1.0][10.0], [1.5][10.0], [2.5][10.0], [2.583333333333333][10.0], [3.25][10.0], [3.25][10.0], [-1.0][11.0], [-0.6666666666666666][11.0], [-0.5][11.0], [-0.5][11.0], [-0.41666666666666663][11.0], [-0.3333333333333333][11.0], [-0.0][11.0], [-0.0][11.0], [-0.0][11.0], [-0.0][11.0], [-0.0][11.0], [-0.0][11.0], [-0.0][11.0], [-0.0][11.0], [0.5][11.0], [1.0][11.0], [1.0][11.0], [1.0][11.0], [1.0][11.0], [1.25][11.0], [1.5][11.0], [2.0][11.0]]", 40
200, 0.724513414, [[3.0][7.0]], "[[3.0][7.0], [3.6666666666666665][7.0], [7.0][7.0], [-0.08333333333333337][8.0], [1.0][8.0], [1.0][8.0], [3.0][8.0], [3.5][8.0], [3.5][8.0], [4.0][8.0], [4.0][8.0], [6.0][8.0], [-1.0][9.0], [-0.9166666666666666][9.0], [-0.6666666666666666][9.0], [-0.0][9.0], [0.16666666666666669][9.0], [0.5][9.0], [0.6666666666666666][9.0], [1.0][9.0], [1.0][9.0], [1.0][9.0], [1.0][9.0], [2.5][9.0], [2.75][9.0], [3.0][9.0], [5.0][9.0], [-0.5][10.0], [-0.3333333333333333][10.0], [-0.3333333333333333][10.0], [-0.3333333333333333][10.0], [-0.22222222222222227][10.0], [-0.16666666666666669][10.0], [-0.0][10.0], [-0.0][10.0], [0.5][10.0], [0.75][10.0], [1.0][10.0], [1.0][10.0], [1.0][10.0]]", 40
240, 0.7573977580000001, [[4.833333333333333][4.0]], "[[4.833333333333333][4.0], [6.0][4.0], [7.5][5.0], [8.0][5.0], [3.6666666666666665][6.0], [5.333333333333333][6.0], [0.875][7.0], [3.0][7.0], [3.0][7.0], [3.0][7.0], [3.6666666666666665][7.0], [3.75][7.0], [5.0][7.0], [5.0][7.0], [5.5][7.0], [7.0][7.0], [-0.33333333333333337][8.0], [-0.08333333333333337][8.0], [-0.0][8.0], [0.33333333333333326][8.0], [1.0][8.0], [1.0][8.0], [1.0][8.0], [2.0][8.0], [2.0][8.0], [2.5][8.0], [3.0][8.0], [3.0][8.0], [3.5][8.0], [3.5][8.0], [4.0][8.0], [4.0][8.0], [4.5][8.0], [6.0][8.0], [6.0][8.0], [6.0][8.0], [-1.0][9.0], [-0.9166666666666666][9.0], [-0.6666666666666666][9.0], [-0.0][9.0]]", 40
280, 0.784105102, [[7.666666666666666][3.0]], "[[7.666666666666666][3.0], [9.25][3.0], [4.833333333333333][4.0], [5.166666666666666][4.0], [5.999999999999999][4.0], [6.0][4.0], [6.0][4.0], [1.5][5.0], [5.5][5.0], [6.0][5.0], [7.5][5.0], [8.0][5.0], [9.0][5.0], [9.5][5.0], [10.0][5.0], [0.75][6.0], [3.0][6.0], [3.5][6.0], [3.6666666666666665][6.0], [3.6666666666666665][6.0], [5.333333333333333][6.0], [6.0][6.0], [6.0][6.0], [0.875][7.0], [1.0][7.0], [2.1666666666666665][7.0], [2.583333333333333][7.0], [3.0][7.0], [3.0][7.0], [3.0][7.0], [3.6666666666666665][7.0], [3.6666666666666665][7.0], [3.75][7.0], [4.25][7.0], [4.333333333333333][7.0], [5.0][7.0], [5.0][7.0], [5.5][7.0], [5.5][7.0], [5.75][7.0]]", 40
320, 0.8186493970000001, [[7.625][2.0]], "[[7.625][2.0], [6.499999999999999][3.0], [6.75][3.0], [7.0][3.0], [7.666666666666666][3.0], [9.25][3.0], [10.0][3.0], [10.0][3.0], [4.833333333333333][4.0], [5.166666666666666][4.0], [5.666666666666666][4.0], [5.75][4.0], [5.999999999999999][4.0], [6.0][4.0], [6.0][4.0], [7.25][4.0], [8.0][4.0], [10.75][4.0], [11.0][4.0], [1.5][5.0], [1.6666666666666665][5.0], [4.166666666666666][5.0], [4.5][5.0], [5.0][5.0], [5.5][5.0], [5.5][5.0], [5.666666666666666][5.0], [5.75][5.0], [6.0][5.0], [6.5][5.0], [7.5][5.0], [8.0][5.0], [8.5][5.0], [9.0][5.0], [9.0][5.0], [9.5][5.0], [10.0][5.0], [0.375][6.0], [0.75][6.0], [1.5][6.0]]", 40
360, 0.8569416240000001, [[13.0][1.0]], "[[13.0][1.0], [4.166666666666666][2.0], [7.625][2.0], [8.625][2.0], [11.0][2.0], [5.5][3.0], [5.833333333333333][3.0], [6.499999999999999][3.0], [6.5][3.0], [6.625][3.0], [6.625][3.0], [6.75][3.0], [7.0][3.0], [7.0][3.0], [7.666666666666666][3.0], [7.999999999999999][3.0], [8.0][3.0], [8.0][3.0], [9.25][3.0], [9.25][3.0], [9.75][3.0], [9.75][3.0], [10.0][3.0], [10.0][3.0], [11.5][3.0], [1.4999999999999998][4.0], [4.833333333333333][4.0], [5.0][4.0], [5.166666666666666][4.0], [5.666666666666666][4.0], [5.75][4.0], [5.833333333333333][4.0], [5.999999999999999][4.0], [6.0][4.0], [6.0][4.0], [6.5][4.0], [6.5][4.0], [6.75][4.0], [7.0][4.0], [7.25][4.0]]", 40
400, 0.886247348, [[10.25][0.0]], "[[10.25][0.0], [3.812499999999999][1.0], [9.0][1.0], [9.125][1.0], [9.5][1.0], [10.5][1.0], [11.0][1.0], [11.75][1.0], [13.0][1.0], [14.0][1.0], [4.166666666666666][2.0], [4.583333333333333][2.0], [7.625][2.0], [8.0][2.0], [8.25][2.0], [8.625][2.0], [8.666666666666666][2.0], [9.0][2.0], [10.25][2.0], [10.25][2.0], [10.5][2.0], [11.0][2.0], [12.0][2.0], [3.9999999999999996][3.0], [5.5][3.0], [5.833333333333333][3.0], [6.499999999999999][3.0], [6.5][3.0], [6.625][3.0], [6.625][3.0], [6.75][3.0], [6.999999999999999][3.0], [7.0][3.0], [7.0][3.0], [7.666666666666666][3.0], [7.999999999999999][3.0], [8.0][3.0], [8.0][3.0], [9.0][3.0], [9.25][3.0]]", 40
