NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 0.6574375560000001, [[-2.0][13.0]], "[[0.5][15.0], [-0.0][16.0], [-0.0][18.0], [-1.0][15.0], [-0.6666666666666666][15.0], [-0.0][16.0], [1.0][15.0], [-0.0][15.0], [-0.0][16.0], [-0.0][18.0], [2.0][14.0], [-0.16666666666666666][14.0], [1.0][14.0], [0.5][14.0], [1.0][15.0], [-0.0][16.0], [-0.0][16.0], [-0.0][16.0], [-1.0][16.0], [-2.0][13.0], [-0.0][15.0], [-0.0][17.0], [1.5][14.0], [-0.0][16.0], [-0.0][17.0], [-0.0][16.0], [-0.0][18.0], [-0.0][16.0], [-0.0][16.0], [-0.0][16.0], [-0.0][15.0], [-0.0][14.0], [-0.0][18.0], [1.0][16.0], [-0.5][15.0], [-0.0][15.0], [-0.0][15.0], [-0.0][18.0], [-0.0][16.0], [-1.0][15.0]]", 40
80, 0.698317925, [[-0.25][12.0]], "[[-0.25][12.0], [-0.25][12.0], [-0.0][12.0], [0.5][12.0], [-2.0][13.0], [-0.5][13.0], [-0.0][13.0], [0.5][13.0], [0.5][13.0], [0.5][13.0], [1.0][13.0], [1.0][13.0], [2.0][13.0], [2.0][13.0], [-1.0][14.0], [-1.0][14.0], [-0.6666666666666666][14.0], [-0.5][14.0], [-0.25][14.0], [-0.16666666666666666][14.0], [-0.0][14.0], [-0.0][14.0], [0.5][14.0], [1.0][14.0], [1.0][14.0], [1.0][14.0], [1.0][14.0], [1.5][14.0], [2.0][14.0], [2.0][14.0], [-1.0][15.0], [-1.0][15.0], [-0.6666666666666666][15.0], [-0.5][15.0], [-0.5][15.0], [-0.0][15.0], [-0.0][15.0], [-0.0][15.0], [-0.0][15.0], [-0.0][15.0]]", 40
120, 0.718785796, [[-0.0][9.0]], "[[-0.0][9.0], [-1.0][11.0], [-0.25][11.0], [-0.0][11.0], [1.0][11.0], [-0.5][12.0], [-0.5][12.0], [-0.25][12.0], [-0.25][12.0], [-0.0][12.0], [-0.0][12.0], [-0.0][12.0], [-0.0][12.0], [0.25][12.0], [0.5][12.0], [0.5][12.0], [1.0][12.0], [1.5][12.0], [2.5][12.0], [4.0][12.0], [4.0][12.0], [-2.0][13.0], [-1.0][13.0], [-0.5][13.0], [-0.0][13.0], [-0.0][13.0], [-0.0][13.0], [-0.0][13.0], [-0.0][13.0], [0.5][13.0], [0.5][13.0], [0.5][13.0], [1.0][13.0], [1.0][13.0], [1.0][13.0], [1.0][13.0], [2.0][13.0], [2.0][13.0], [-1.0][14.0], [-1.0][14.0]]", 40
160, 0.7531734040000001, [[-0.0][9.0]], "[[-0.0][9.0], [1.0][10.0], [1.6666666666666667][10.0], [2.5][10.0], [-1.0][11.0], [-0.25][11.0], [-0.0][11.0], [0.25][11.0], [0.49999999999999994][11.0], [0.5][11.0], [0.75][11.0], [0.8333333333333335][11.0], [1.0][11.0], [1.1666666666666665][11.0], [1.6666666666666665][11.0], [2.0][11.0], [2.0][11.0], [2.5][11.0], [2.5][11.0], [3.0][11.0], [-1.0][12.0], [-0.5][12.0], [-0.5][12.0], [-0.25][12.0], [-0.25][12.0], [-0.0][12.0], [-0.0][12.0], [-0.0][12.0], [-0.0][12.0], [-0.0][12.0], [-0.0][12.0], [0.25][12.0], [0.5][12.0], [0.5][12.0], [1.0][12.0], [1.0][12.0], [1.5][12.0], [1.5][12.0], [1.5][12.0], [2.5][12.0]]", 40
200, 0.7821532560000001, [[-0.25][9.0]], "[[-0.25][9.0], [-0.0][9.0], [0.5][9.0], [1.25][9.0], [2.5][9.0], [4.25][9.0], [0.1111111111111111][10.0], [0.125][10.0], [0.6666666666666667][10.0], [1.0][10.0], [1.25][10.0], [1.5][10.0], [1.5][10.0], [1.5][10.0], [1.6666666666666667][10.0], [2.0][10.0], [2.25][10.0], [2.5][10.0], [5.0][10.0], [-1.5][11.0], [-1.0][11.0], [-0.75][11.0], [-0.3333333333333333][11.0], [-0.25][11.0], [-0.25][11.0], [-2.220446049250313E-16][11.0], [-0.0][11.0], [0.25][11.0], [0.49999999999999994][11.0], [0.5][11.0], [0.5][11.0], [0.6666666666666667][11.0], [0.75][11.0], [0.8333333333333335][11.0], [1.0][11.0], [1.0][11.0], [1.1666666666666665][11.0], [1.25][11.0], [1.6666666666666665][11.0], [1.75][11.0]]", 40
240, 0.801634222, [[1.0][6.0]], "[[1.0][6.0], [1.6666666666666665][7.0], [3.0][7.0], [1.0][8.0], [1.5][8.0], [2.0][8.0], [-1.1666666666666665][9.0], [-0.25][9.0], [-0.0][9.0], [0.125][9.0], [0.5][9.0], [1.25][9.0], [2.5][9.0], [2.5][9.0], [2.5][9.0], [2.6666666666666665][9.0], [4.25][9.0], [-0.16666666666666674][10.0], [-0.0][10.0], [0.1111111111111111][10.0], [0.125][10.0], [0.125][10.0], [0.16666666666666666][10.0], [0.16666666666666666][10.0], [0.5][10.0], [0.5][10.0], [0.6666666666666667][10.0], [0.75][10.0], [1.0][10.0], [1.0][10.0], [1.0][10.0], [1.0][10.0], [1.25][10.0], [1.25][10.0], [1.5][10.0], [1.5][10.0], [1.5][10.0], [1.6666666666666667][10.0], [1.6666666666666667][10.0], [2.0][10.0]]", 40
280, 0.8900347860000001, [[2.833333333333333][5.0]], "[[2.833333333333333][5.0], [1.0][6.0], [1.9000000000000001][6.0], [3.25][6.0], [3.75][6.0], [4.0][6.0], [6.5][6.0], [6.999999999999999][6.0], [-0.125][7.0], [-0.09999999999999998][7.0], [2.220446049250313E-16][7.0], [0.25][7.0], [1.5][7.0], [1.6666666666666665][7.0], [1.75][7.0], [3.0][7.0], [3.1666666666666665][7.0], [3.25][7.0], [5.666666666666667][7.0], [0.16666666666666666][8.0], [1.0][8.0], [1.5][8.0], [1.5][8.0], [1.75][8.0], [1.9999999999999998][8.0], [2.0][8.0], [-1.1666666666666665][9.0], [-0.6666666666666667][9.0], [-0.25][9.0], [-0.0][9.0], [0.02777777777777779][9.0], [0.125][9.0], [0.25][9.0], [0.3333333333333333][9.0], [0.5][9.0], [0.6666666666666665][9.0], [1.25][9.0], [2.5][9.0], [2.5][9.0], [2.5][9.0]]", 40
320, 0.911850076, [[5.166666666666666][3.0]], "[[5.166666666666666][3.0], [10.666666666666666][3.0], [3.5][4.0], [4.333333333333333][4.0], [0.30000000000000004][5.0], [0.9166666666666669][5.0], [1.25][5.0], [2.1666666666666665][5.0], [2.5][5.0], [2.833333333333333][5.0], [3.25][5.0], [3.333333333333333][5.0], [4.999999999999999][5.0], [5.0][5.0], [5.5][5.0], [7.0][5.0], [-0.16666666666666674][6.0], [-0.08333333333333326][6.0], [0.37499999999999956][6.0], [0.5000000000000001][6.0], [1.0][6.0], [1.3333333333333333][6.0], [1.9000000000000001][6.0], [3.25][6.0], [3.75][6.0], [4.0][6.0], [6.5][6.0], [6.999999999999999][6.0], [-0.16666666666666674][7.0], [-0.125][7.0], [-0.09999999999999998][7.0], [2.220446049250313E-16][7.0], [0.25][7.0], [1.5][7.0], [1.6666666666666665][7.0], [1.75][7.0], [2.3749999999999996][7.0], [2.5][7.0], [3.0][7.0], [3.1666666666666665][7.0]]", 40
360, 0.951265482, [[7.722222222222221][0.0]], "[[7.722222222222221][0.0], [4.527777777777778][3.0], [4.833333333333334][3.0], [5.166666666666666][3.0], [5.944444444444444][3.0], [6.375][3.0], [7.416666666666668][3.0], [10.666666666666666][3.0], [3.5][4.0], [4.333333333333333][4.0], [5.75][4.0], [6.999999999999999][4.0], [7.0][4.0], [7.25][4.0], [7.999999999999999][4.0], [8.25][4.0], [-0.6666666666666665][5.0], [0.30000000000000004][5.0], [0.375][5.0], [0.4166666666666665][5.0], [0.9166666666666669][5.0], [1.25][5.0], [2.1666666666666665][5.0], [2.5][5.0], [2.833333333333333][5.0], [2.958333333333333][5.0], [3.25][5.0], [3.333333333333333][5.0], [3.3999999999999995][5.0], [4.000000000000001][5.0], [4.999999999999999][5.0], [4.999999999999999][5.0], [5.0][5.0], [5.5][5.0], [6.5][5.0], [6.833333333333333][5.0], [7.0][5.0], [7.0][5.0], [-0.16666666666666674][6.0], [-0.08333333333333326][6.0]]", 40
400, 0.9891672930000001, [[7.722222222222221][0.0]], "[[7.722222222222221][0.0], [10.583333333333334][0.0], [7.333333333333334][1.0], [7.666666666666666][1.0], [9.75][1.0], [10.916666666666666][1.0], [2.6666666666666665][2.0], [5.666666666666666][2.0], [5.916666666666667][2.0], [6.083333333333333][2.0], [7.166666666666665][2.0], [8.416666666666668][2.0], [2.416666666666667][3.0], [4.527777777777778][3.0], [4.527777777777778][3.0], [4.625][3.0], [4.833333333333334][3.0], [5.166666666666666][3.0], [5.499999999999999][3.0], [5.944444444444444][3.0], [6.0][3.0], [6.375][3.0], [7.416666666666668][3.0], [10.25][3.0], [10.666666666666666][3.0], [3.25][4.0], [3.5][4.0], [4.333333333333333][4.0], [4.75][4.0], [5.166666666666666][4.0], [5.75][4.0], [6.75][4.0], [6.999999999999999][4.0], [7.0][4.0], [7.25][4.0], [7.499999999999999][4.0], [7.999999999999999][4.0], [8.25][4.0], [9.5][4.0], [-0.6666666666666665][5.0]]", 40
