NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 0.662500113, [[-0.0][30.0]], "[[-0.0][30.0], [-0.0][34.0], [-0.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][35.0], [-0.0][33.0], [0.5][32.0], [-0.0][32.0], [-0.0][33.0], [-0.0][35.0], [-0.0][33.0], [-0.0][33.0], [0.5][32.0], [-0.5][32.0], [-0.0][31.0], [-0.0][33.0], [-0.0][33.0], [-0.5][31.0], [2.0][30.0], [-0.0][33.0], [1.0][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][31.0], [-0.0][33.0], [-0.5][31.0], [-0.0][33.0], [-0.0][34.0], [-0.0][35.0], [-0.0][30.0], [-0.0][33.0], [-0.0][32.0], [0.5][30.0], [-0.0][33.0], [-0.0][33.0], [-0.0][35.0], [-0.5][32.0], [-0.0][33.0], [0.5][30.0]]", 40
80, 0.7012598170000001, [[-0.0][28.0]], "[[-0.0][28.0], [-0.0][28.0], [-0.8333333333333333][29.0], [-0.6666666666666666][29.0], [-0.5][29.0], [-1.0][30.0], [-0.15][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [0.5][30.0], [0.5][30.0], [1.0][30.0], [1.0][30.0], [1.0][30.0], [2.0][30.0], [3.0][30.0], [-0.5][31.0], [-0.5][31.0], [-0.5][31.0], [-0.5][31.0], [-0.5][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [1.0][31.0], [-0.5][32.0], [-0.5][32.0], [-0.5][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [0.5][32.0]]", 40
120, 0.7447878960000001, [[0.25][27.0]], "[[0.25][27.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0], [0.25][28.0], [0.75][28.0], [1.5][28.0], [-0.8333333333333333][29.0], [-0.6666666666666666][29.0], [-0.5][29.0], [-0.5][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [0.5][29.0], [0.6666666666666666][29.0], [2.0][29.0], [2.0][29.0], [-1.0][30.0], [-0.5][30.0], [-0.15][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [0.5][30.0], [0.5][30.0], [0.5][30.0], [1.0][30.0], [1.0][30.0], [1.0][30.0], [1.0][30.0]]", 40
160, 0.77851782, [[1.5][25.0]], "[[1.5][25.0], [-0.16666666666666666][26.0], [-0.0][26.0], [1.0][26.0], [1.0][26.0], [1.5][26.0], [-0.0][27.0], [0.25][27.0], [0.5][27.0], [1.75][27.0], [2.25][27.0], [-1.5][28.0], [-0.5][28.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0], [0.25][28.0], [0.75][28.0], [1.0][28.0], [1.0][28.0], [1.3333333333333333][28.0], [1.5][28.0], [1.5][28.0], [2.0][28.0], [-0.8333333333333333][29.0], [-0.6666666666666666][29.0], [-0.5][29.0], [-0.5][29.0], [-0.25][29.0], [-0.25][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0]]", 40
200, 0.8111499750000001, [[-0.33333333333333326][24.0]], "[[-0.33333333333333326][24.0], [0.08333333333333337][24.0], [0.25][24.0], [1.5][24.0], [-1.0][25.0], [1.5][25.0], [2.0][25.0], [3.75][25.0], [-0.5416666666666666][26.0], [-0.3][26.0], [-0.16666666666666666][26.0], [-0.0][26.0], [0.08333333333333334][26.0], [0.25][26.0], [0.5][26.0], [1.0][26.0], [1.0][26.0], [1.0][26.0], [1.5][26.0], [-1.5][27.0], [-0.0][27.0], [-0.0][27.0], [-0.0][27.0], [-0.0][27.0], [-0.0][27.0], [0.25][27.0], [0.25][27.0], [0.5][27.0], [0.8333333333333334][27.0], [1.0][27.0], [1.75][27.0], [2.0][27.0], [2.25][27.0], [-1.5][28.0], [-0.5][28.0], [-0.5][28.0], [-0.16666666666666663][28.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0]]", 40
240, 0.851921793, [[0.7499999999999998][22.0]], "[[0.7499999999999998][22.0], [-0.30555555555555547][23.0], [3.75][23.0], [-0.33333333333333326][24.0], [-0.20833333333333331][24.0], [0.08333333333333337][24.0], [0.125][24.0], [0.25][24.0], [0.25][24.0], [0.275][24.0], [0.41666666666666663][24.0], [1.5][24.0], [1.75][24.0], [4.5][24.0], [4.5][24.0], [-1.0][25.0], [-0.0][25.0], [0.25][25.0], [0.33333333333333337][25.0], [0.36666666666666664][25.0], [0.6666666666666667][25.0], [0.8333333333333334][25.0], [1.5][25.0], [2.0][25.0], [2.5][25.0], [3.75][25.0], [-1.5][26.0], [-1.25][26.0], [-1.0][26.0], [-0.5416666666666666][26.0], [-0.3][26.0], [-0.16666666666666666][26.0], [-0.0][26.0], [-0.0][26.0], [0.08333333333333334][26.0], [0.2][26.0], [0.25][26.0], [0.5][26.0], [1.0][26.0], [1.0][26.0]]", 40
280, 0.888771881, [[0.5833333333333335][21.0]], "[[0.5833333333333335][21.0], [0.7499999999999998][22.0], [1.0714285714285714][22.0], [3.25][22.0], [-0.5833333333333333][23.0], [-0.30555555555555547][23.0], [-0.0][23.0], [-0.0][23.0], [0.75][23.0], [0.7833333333333333][23.0], [0.875][23.0], [0.9722222222222221][23.0], [1.4166666666666665][23.0], [2.8333333333333335][23.0], [3.75][23.0], [4.0][23.0], [4.25][23.0], [-0.33333333333333337][24.0], [-0.33333333333333337][24.0], [-0.33333333333333326][24.0], [-0.20833333333333331][24.0], [0.08333333333333337][24.0], [0.125][24.0], [0.125][24.0], [0.25][24.0], [0.25][24.0], [0.275][24.0], [0.36666666666666664][24.0], [0.375][24.0], [0.41666666666666663][24.0], [0.5416666666666667][24.0], [0.7083333333333335][24.0], [1.3333333333333333][24.0], [1.5][24.0], [1.75][24.0], [2.0][24.0], [2.333333333333333][24.0], [2.5][24.0], [4.5][24.0], [4.5][24.0]]", 40
320, 0.924322646, [[-0.3833333333333331][20.0]], "[[-0.3833333333333331][20.0], [3.9642857142857144][20.0], [4.083333333333333][20.0], [0.5833333333333335][21.0], [1.111111111111111][21.0], [2.0][21.0], [3.2777777777777772][21.0], [0.16666666666666669][22.0], [0.7499999999999998][22.0], [1.0714285714285714][22.0], [1.1666666666666665][22.0], [1.5][22.0], [1.5000000000000004][22.0], [1.625][22.0], [1.8214285714285712][22.0], [2.0][22.0], [2.5][22.0], [3.25][22.0], [5.166666666666667][22.0], [-0.5833333333333333][23.0], [-0.41666666666666663][23.0], [-0.33333333333333326][23.0], [-0.30555555555555547][23.0], [-0.25][23.0], [-0.23333333333333334][23.0], [-0.20833333333333337][23.0], [-0.20833333333333331][23.0], [-0.0][23.0], [-0.0][23.0], [-0.0][23.0], [0.33333333333333337][23.0], [0.75][23.0], [0.7833333333333333][23.0], [0.8333333333333333][23.0], [0.875][23.0], [0.9722222222222221][23.0], [0.9999999999999999][23.0], [1.0][23.0], [1.0833333333333333][23.0], [1.25][23.0]]", 40
360, 0.964513904, [[5.7142857142857135][17.0]], "[[5.7142857142857135][17.0], [-0.08333333333333326][18.0], [1.4874999999999998][18.0], [2.227777777777778][18.0], [0.23015873015873023][19.0], [0.8166666666666664][19.0], [1.6666666666666667][19.0], [3.041666666666666][19.0], [3.055555555555556][19.0], [4.785714285714286][19.0], [7.083333333333333][19.0], [-0.3833333333333331][20.0], [-0.20238095238095222][20.0], [0.5][20.0], [2.694444444444444][20.0], [3.0][20.0], [3.625][20.0], [3.9642857142857144][20.0], [4.083333333333333][20.0], [0.49999999999999994][21.0], [0.5833333333333335][21.0], [1.0714285714285714][21.0], [1.111111111111111][21.0], [1.5][21.0], [1.7916666666666667][21.0], [1.8333333333333335][21.0], [2.0][21.0], [2.4444444444444446][21.0], [3.2777777777777772][21.0], [-0.25][22.0], [-0.125][22.0], [-0.05555555555555558][22.0], [-0.0][22.0], [0.16666666666666669][22.0], [0.2777777777777777][22.0], [0.33333333333333337][22.0], [0.7499999999999998][22.0], [1.0714285714285714][22.0], [1.0833333333333335][22.0], [1.1666666666666665][22.0]]", 40
400, 1.003315266, [[6.958333333333333][16.0]], "[[6.958333333333333][16.0], [2.6666666666666665][17.0], [2.9875][17.0], [5.7142857142857135][17.0], [-0.08333333333333326][18.0], [1.4874999999999998][18.0], [1.5833333333333335][18.0], [1.75][18.0], [2.227777777777778][18.0], [3.833333333333333][18.0], [5.333333333333333][18.0], [5.999999999999999][18.0], [0.04166666666666674][19.0], [0.11111111111111094][19.0], [0.23015873015873023][19.0], [0.4027777777777778][19.0], [0.8166666666666664][19.0], [1.6666666666666667][19.0], [2.144444444444444][19.0], [2.6944444444444446][19.0], [3.041666666666666][19.0], [3.055555555555556][19.0], [3.2777777777777777][19.0], [3.4166666666666665][19.0], [3.833333333333333][19.0], [3.8749999999999996][19.0], [4.785714285714286][19.0], [7.083333333333333][19.0], [-0.3833333333333331][20.0], [-0.20238095238095222][20.0], [0.09027777777777779][20.0], [0.125][20.0], [0.3333333333333335][20.0], [0.5][20.0], [0.6904761904761907][20.0], [1.2222222222222223][20.0], [1.6111111111111112][20.0], [2.2142857142857135][20.0], [2.5][20.0], [2.694444444444444][20.0]]", 40
